,Key,date,season,away,home,Away Line Close,Away Odds Close,Home Odds Close,point_diff,win,cover,eloaway,elohome,eloaway_lag1,elohome_lag1,eloaway_lag2,elohome_lag2
115,2014-11-16clehtx,2014-11-16,2014,htx,cle,4.5,2.91,1.469,16,1,1,1384.4234431665,1479.95156687758,1437.378993545212,1424.4041983595382,1407.2586579232,1415.02991456837
116,2014-11-16cltnwe,2014-11-16,2014,nwe,clt,3.0,2.44,1.625,22,1,1,1710.3341546354,1637.5608433996,1676.707231669,1608.6827412045,1647.53626734757,1640.22613156
117,2014-11-16crddet,2014-11-16,2014,det,crd,-1.0,1.869,2.04,-8,0,0,1553.40288725422,1601.9346500004,1538.44064150329,1660.5938969318,1525.0804413294,1633.331900234
118,2014-11-16gnbphi,2014-11-16,2014,phi,gnb,4.5,2.8,1.5,-33,0,0,1474.04352347,1609.1521065246,1440.530925975,1580.3770225224,1574.95624525584,1608.1264961781
119,2014-11-16kansea,2014-11-16,2014,sea,kan,-1.0,1.869,2.04,-4,0,0,1668.29227589149,1590.3553046039851,1658.5686974064802,1580.2246320028,1664.3798675173,1570.9778463832802
120,2014-11-16norcin,2014-11-16,2014,cin,nor,8.5,4.3,1.263,17,1,1,1502.2713869217,1582.89420471362,1575.44063585407,1603.5928632203802,1573.5611623791,1578.8469116303
121,2014-11-16nygsfo,2014-11-16,2014,sfo,nyg,-4.0,1.526,2.71,6,1,1,1598.5303141442,1466.6102357829,1587.44869738797,1475.5109414428998,1622.63539401235,1496.9432676946
122,2014-11-16ramden,2014-11-16,2014,den,ram,-8.0,1.281,4.1,-15,0,0,1698.4565095809,1458.83537333815,1689.4710997155998,1396.2602967003,1723.2372652314998,1371.2103215228
123,2014-11-16sdgrai,2014-11-16,2014,rai,sdg,10.5,5.23,1.2,-7,0,1,1274.5975690193,1553.627111995952,1282.00024740458,1610.28149444,1286.5183502974598,1625.3208271151
124,2014-11-16wastam,2014-11-16,2014,tam,was,6.5,3.64,1.333,20,1,1,1330.787518524,1366.3673839378,1356.0952809544,1377.3040072259,1308.6039290558,1299.4011637048
125,2014-11-17otipit,2014-11-17,2014,pit,oti,-7.0,1.324,3.71,3,1,0,1574.0000888138,1316.1669417435,1612.0777363316,1327.9180223473,1577.4594074107,1351.5996843333
126,2014-11-20raikan,2014-11-20,2014,kan,rai,-7.5,1.303,3.89,-4,0,0,1602.72671398567,1262.5070313031802,1590.3553046039851,1274.5975690193,1580.2246320028,1282.00024740458
127,2014-11-23atlcle,2014-11-23,2014,cle,atl,3.0,2.31,1.689,2,1,1,1435.04654910319,1440.8768346797951,1479.95156687758,1424.74152537623,1424.4041983595382,1401.3276086938931
128,2014-11-23chitam,2014-11-23,2014,tam,chi,4.0,2.81,1.495,-8,0,0,1377.8397720564,1470.7688212046,1330.787518524,1442.88068924574,1356.0952809544,1469.4932264611598
129,2014-11-23cltjax,2014-11-23,2014,jax,clt,13.0,6.69,1.142,-20,0,0,1313.910535567,1604.272118703,1331.7112663435,1637.5608433996,1354.6682969702,1608.6827412045
130,2014-11-23denmia,2014-11-23,2014,mia,den,6.5,3.52,1.35,-3,0,1,1577.8144529785,1646.37544191325,1559.1884946272,1698.4565095809,1576.1509692374,1689.4710997155998
131,2014-11-23htxcin,2014-11-23,2014,cin,htx,3.0,2.35,1.671,9,1,1,1551.86689923286,1432.1716150078,1502.2713869217,1384.4234431665,1575.44063585407,1437.378993545212
132,2014-11-23mingnb,2014-11-23,2014,gnb,min,-7.5,1.294,3.97,3,1,0,1644.9174744131,1459.5456061361,1609.1521065246,1483.4304817526,1580.3770225224,1470.5250007891
133,2014-11-23nwedet,2014-11-23,2014,det,nwe,7.5,3.73,1.322,-25,0,0,1533.8384929494998,1734.6109492066998,1553.40288725422,1710.3341546354,1538.44064150329,1676.707231669
134,2014-11-23nygdal,2014-11-23,2014,dal,nyg,-4.0,1.495,2.81,3,1,0,1584.8985057695,1440.50132804299,1485.3267339792,1466.6102357829,1627.5619198353,1475.5109414428998
135,2014-11-23phioti,2014-11-23,2014,oti,phi,11.0,5.98,1.166,-19,0,0,1318.0836847616,1453.571128775,1316.1669417435,1474.04352347,1327.9180223473,1440.530925975
136,2014-11-23sdgram,2014-11-23,2014,ram,sdg,4.0,2.75,1.512,-3,0,1,1502.49631859456,1553.4038207931,1458.83537333815,1553.627111995952,1396.2602967003,1610.28149444
137,2014-11-23seacrd,2014-11-23,2014,crd,sea,7.5,4.14,1.277,-16,0,0,1621.7995957924,1656.3152765234,1601.9346500004,1668.29227589149,1660.5938969318,1658.5686974064802
138,2014-11-23sfowas,2014-11-23,2014,was,sfo,9.0,4.61,1.238,-4,0,1,1317.8140277227,1611.3140621745,1366.3673839378,1598.5303141442,1377.3040072259,1587.44869738797
139,2014-11-24bufnyj,2014-11-24,2014,nyj,buf,2.5,2.29,1.699,-35,0,0,1440.6528227134,1486.8781256574,1414.2632672234,1507.9492471832,1423.7924140758,1521.3325589109
